inc_q,saved,age,female,educ,urbanicity,emp_in,inc_educ,age_group
5,0,21,1,2,2,1,10,1
5,0,49,1,2,1,1,10,4
4,1,69,1,2,2,1,8,5
2,0,28,2,2,2,2,4,2
2,0,24,1,1,1,1,2,1
1,0,30,2,3,1,1,3,2
5,1,68,2,3,2,2,15,5
4,1,58,2,3,1,1,12,5
4,0,59,2,3,1,2,12,5
1,0,70,2,2,1,1,2,5
5,0,71,2,2,1,1,10,5
5,1,35,1,2,2,1,10,3
2,1,64,1,3,1,1,6,5
2,0,47,1,2,1,1,4,4
2,0,21,2,2,1,1,4,1
3,1,29,1,1,2,2,3,2
4,0,46,2,1,2,1,4,4
3,0,34,2,2,1,2,6,2
2,1,29,2,1,1,2,2,2
4,0,62,1,1,2,1,4,5
2,0,35,2,2,1,2,4,3
2,0,56,2,2,1,1,4,5
3,1,40,1,2,2,2,6,3
3,1,28,1,2,1,1,6,2
5,1,71,2,3,1,2,15,5
2,0,51,2,3,2,2,6,4
4,1,72,1,2,2,1,8,5
4,1,35,1,1,1,2,4,3
1,0,17,1,2,2,1,2,1
4,1,51,2,2,1,1,8,4
2,0,63,1,1,1,1,2,5
1,0,33,1,3,1,1,3,2
5,0,26,1,2,2,1,10,2
5,0,75,2,2,2,2,10,5
5,0,55,1,3,1,2,15,5
3,0,47,1,3,1,2,9,4
1,0,64,1,1,2,1,1,5
4,1,47,1,3,2,2,12,4
3,0,38,1,3,2,2,9,3
1,0,75,2,3,1,2,3,5
4,0,75,2,1,2,2,4,5
1,0,42,2,3,2,2,3,3
5,0,72,1,3,1,1,15,5
2,0,57,2,1,1,1,2,5
4,1,55,2,3,1,2,12,5
3,0,53,2,3,2,1,9,4
4,0,63,1,1,1,1,4,5
4,0,31,1,2,1,2,8,2
2,1,79,2,1,1,2,2,5
5,0,19,2,3,1,1,15,1
5,1,16,1,3,2,2,15,1
5,0,36,1,3,1,1,15,3
5,1,71,2,1,2,1,5,5
4,1,30,1,3,2,2,12,2
5,1,65,2,3,2,1,15,5
1,0,53,1,1,1,1,1,4
2,0,54,2,2,2,1,4,4
1,0,52,2,2,1,2,2,4
3,0,74,1,3,1,2,9,5
3,0,73,2,1,1,2,3,5
2,1,24,2,3,2,2,6,1
5,1,78,2,1,1,1,5,5
3,1,77,1,1,1,2,3,5
2,0,63,1,2,1,2,4,5
